Team,Year,Conference,Subdivision
Virginia Tech,1963, Southern Conference,Division I-A
Wake Forest (NC),1963, Atlantic Coast Conference,Division I-A
Washington,1963, Pacific-12 Conference,Division I-A
Washington St.,1963, Pacific-12 Conference,Division I-A
West Virginia,1963, Southern Conference,Division I-A
Western Kentucky,1963, Ohio Valley Conference,Division II
Western Michigan,1963, Mid-American Conference,Division I-A
Wisconsin,1963, Big Ten Conference,Division I-A
Wyoming,1963, Western Athletic Conference,Division I-A
Air Force (CO),1964, Independent,Division I-A
Akron (OH),1964, Ohio Athletic Conference,Division II
Alabama,1964, Southeastern Conference,Division I-A
Appalachian St. (NC),1964, Carolinas Conference,NAIA
Arizona,1964, Western Athletic Conference,Division I-A
Arizona St.,1964, Western Athletic Conference,Division I-A
Arkansas,1964, Southwest Conference,Division I-A
Arkansas St.,1964, Southland Conference,Division II
Army (NY),1964, Independent,Division I-A
Auburn (AL),1964, Southeastern Conference,Division I-A
Ball St. (IN),1964, Heartland Collegiate Conference,Division II
Baylor (TX),1964, Southwest Conference,Division I-A
Boston College (MA),1964, Independent,Division I-A
Bowling Green (OH),1964, Mid-American Conference,Division I-A
Brigham Young (UT),1964, Western Athletic Conference,Division I-A
Buffalo (NY),1964, Independent,Division I-A
California,1964, Pacific-12 Conference,Division I-A
Central Michigan,1964, Interstate Intercollegiate Athletic Conference,Division II
Cincinnati (OH),1964, Missouri Valley Conference,Division I-A
Clemson (SC),1964, Atlantic Coast Conference,Division I-A
Colorado,1964, Big Eight Conference,Division I-A
Colorado St.,1964, Independent,Division I-A
Connecticut,1964, Yankee Conference,Division II
Duke (NC),1964, Atlantic Coast Conference,Division I-A
East Carolina (NC),1964, Independent,Division II
Eastern Michigan,1964, Presidents' Athletic Conference,Division II
Florida,1964, Southeastern Conference,Division I-A
Florida St.,1964, Independent,Division I-A
Fresno St. (CA),1964, California Collegiate Athletic Association,Division II
Georgia,1964, Southeastern Conference,Division I-A
Georgia Tech,1964, Independent,Division I-A
Hawaii,1964, Independent,Division II
Houston (TX),1964, Independent,Division I-A
Idaho,1964, Big Sky Conference,Division I-A
Illinois,1964, Big Ten Conference,Division I-A
Indiana,1964, Big Ten Conference,Division I-A
Iowa,1964, Big Ten Conference,Division I-A
Iowa St.,1964, Big Eight Conference,Division I-A
Kansas,1964, Big Eight Conference,Division I-A
Kansas St.,1964, Big Eight Conference,Division I-A
Kent St. (OH),1964, Mid-American Conference,Division I-A
Kentucky,1964, Southeastern Conference,Division I-A
Louisiana St.,1964, Southeastern Conference,Division I-A
Louisiana Tech,1964, Gulf States Conference,Division II
Louisiana-Lafayette,1964, Gulf States Conference,Division II
Louisiana-Monroe,1964, Gulf States Conference,NJCAA
Louisville (KY),1964, Missouri Valley Conference,Division I-A
Marshall (WV),1964, Mid-American Conference,Division I-A
Maryland,1964, Atlantic Coast Conference,Division I-A
Massachusetts,1964, Yankee Conference,Division II
Memphis (TN),1964, Independent,Division I-A
Miami (FL),1964, Independent,Division I-A
Miami (OH),1964, Mid-American Conference,Division I-A
Michigan,1964, Big Ten Conference,Division I-A
Michigan St.,1964, Big Ten Conference,Division I-A
Middle Tennessee St.,1964, Ohio Valley Conference,Division II
Minnesota,1964, Big Ten Conference,Division I-A
Mississippi,1964, Southeastern Conference,Division I-A
Mississippi St.,1964, Southeastern Conference,Division I-A
Missouri,1964, Big Eight Conference,Division I-A
Navy (MD),1964, Independent,Division I-A
Nebraska,1964, Big Eight Conference,Division I-A
Nevada,1964, Northern California Athletic Conference,Division II
New Mexico,1964, Western Athletic Conference,Division I-A
New Mexico St.,1964, Independent,Division I-A
North Carolina,1964, Atlantic Coast Conference,Division I-A
North Carolina St.,1964, Atlantic Coast Conference,Division I-A
North Texas,1964, Missouri Valley Conference,Division I-A
Northern Illinois,1964, Interstate Intercollegiate Athletic Conference,Division II
Northwestern (IL),1964, Big Ten Conference,Division I-A
Notre Dame (IN),1964, Independent,Division I-A
Ohio,1964, Mid-American Conference,Division I-A
Ohio St.,1964, Big Ten Conference,Division I-A
Oklahoma,1964, Big Eight Conference,Division I-A
Oklahoma St.,1964, Big Eight Conference,Division I-A
Oregon,1964, Pacific-12 Conference,Division I-A
Oregon St.,1964, Pacific-12 Conference,Division I-A
Penn St.,1964, Independent,Division I-A
Pittsburgh (PA),1964, Independent,Division I-A
Purdue (IN),1964, Big Ten Conference,Division I-A
Rice (TX),1964, Southwest Conference,Division I-A
Rutgers (NJ),1964, Middle Three Conference,Division I-A
San Diego St. (CA),1964, California Collegiate Athletic Association,Division II
San Jose St. (CA),1964, Independent,Division I-A
South Carolina,1964, Atlantic Coast Conference,Division I-A
Southern California,1964, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1964, Southwest Conference,Division I-A
Southern Mississippi,1964, Independent,Division I-A
Stanford (CA),1964, Pacific-12 Conference,Division I-A
Syracuse (NY),1964, Independent,Division I-A
Temple (PA),1964, Middle Atlantic States Collegiate Athletic Corporation,Division II
Tennessee,1964, Southeastern Conference,Division I-A
Texas,1964, Southwest Conference,Division I-A
Texas A&M,1964, Southwest Conference,Division I-A
Texas Christian,1964, Southwest Conference,Division I-A
Texas St.,1964, Lone Star Conference,Division II
Texas Tech,1964, Southwest Conference,Division I-A
Texas-El Paso,1964, Independent,Division I-A
Toledo (OH),1964, Mid-American Conference,Division I-A
Troy (AL),1964, Alabama Collegiate Conference,NAIA
Tulane (LA),1964, Southeastern Conference,Division I-A
Tulsa (OK),1964, Missouri Valley Conference,Division I-A
UCLA,1964, Pacific-12 Conference,Division I-A
Utah,1964, Western Athletic Conference,Division I-A
Utah St.,1964, Independent,Division I-A
Vanderbilt (TN),1964, Southeastern Conference,Division I-A
Virginia,1964, Atlantic Coast Conference,Division I-A
Virginia Tech,1964, Southern Conference,Division I-A
Wake Forest (NC),1964, Atlantic Coast Conference,Division I-A
Washington,1964, Pacific-12 Conference,Division I-A
Washington St.,1964, Pacific-12 Conference,Division I-A
West Virginia,1964, Southern Conference,Division I-A
Western Kentucky,1964, Ohio Valley Conference,Division II
Western Michigan,1964, Mid-American Conference,Division I-A
Wisconsin,1964, Big Ten Conference,Division I-A
Wyoming,1964, Western Athletic Conference,Division I-A
Air Force (CO),1965, Independent,Division I-A
Akron (OH),1965, Ohio Athletic Conference,Division II
Alabama,1965, Southeastern Conference,Division I-A
Appalachian St. (NC),1965, Carolinas Conference,NAIA
Arizona,1965, Western Athletic Conference,Division I-A
Arizona St.,1965, Western Athletic Conference,Division I-A
Arkansas,1965, Southwest Conference,Division I-A
Arkansas St.,1965, Southland Conference,Division II
Army (NY),1965, Independent,Division I-A
Auburn (AL),1965, Southeastern Conference,Division I-A
Ball St. (IN),1965, Heartland Collegiate Conference,Division II
Baylor (TX),1965, Southwest Conference,Division I-A
Boston College (MA),1965, Independent,Division I-A
Bowling Green (OH),1965, Mid-American Conference,Division I-A
Brigham Young (UT),1965, Western Athletic Conference,Division I-A
Buffalo (NY),1965, Independent,Division I-A
California,1965, Pacific-12 Conference,Division I-A
Central Michigan,1965, Interstate Intercollegiate Athletic Conference,Division II
Cincinnati (OH),1965, Missouri Valley Conference,Division I-A
Clemson (SC),1965, Atlantic Coast Conference,Division I-A
Colorado,1965, Big Eight Conference,Division I-A
Colorado St.,1965, Independent,Division I-A
Connecticut,1965, Yankee Conference,Division II
Duke (NC),1965, Atlantic Coast Conference,Division I-A
East Carolina (NC),1965, Southern Conference,Division I-A
Eastern Michigan,1965, Presidents' Athletic Conference,Division II
Florida,1965, Southeastern Conference,Division I-A
Florida St.,1965, Independent,Division I-A
Fresno St. (CA),1965, California Collegiate Athletic Association,Division II
Georgia,1965, Southeastern Conference,Division I-A
Georgia Tech,1965, Independent,Division I-A
Hawaii,1965, Independent,Division II
Houston (TX),1965, Independent,Division I-A
Idaho,1965, Big Sky Conference,Division I-A
Illinois,1965, Big Ten Conference,Division I-A
Indiana,1965, Big Ten Conference,Division I-A
Iowa,1965, Big Ten Conference,Division I-A
Iowa St.,1965, Big Eight Conference,Division I-A
Kansas,1965, Big Eight Conference,Division I-A
Kansas St.,1965, Big Eight Conference,Division I-A
Kent St. (OH),1965, Mid-American Conference,Division I-A
Kentucky,1965, Southeastern Conference,Division I-A
Louisiana St.,1965, Southeastern Conference,Division I-A
Louisiana Tech,1965, Gulf States Conference,Division II
Louisiana-Lafayette,1965, Gulf States Conference,Division II
Louisiana-Monroe,1965, Gulf States Conference,NJCAA
Louisville (KY),1965, Missouri Valley Conference,Division I-A
Marshall (WV),1965, Mid-American Conference,Division I-A
Maryland,1965, Atlantic Coast Conference,Division I-A
Massachusetts,1965, Yankee Conference,Division II
Memphis (TN),1965, Independent,Division I-A
Miami (FL),1965, Independent,Division I-A
Miami (OH),1965, Mid-American Conference,Division I-A
Michigan,1965, Big Ten Conference,Division I-A
Michigan St.,1965, Big Ten Conference,Division I-A
Middle Tennessee St.,1965, Ohio Valley Conference,Division II
Minnesota,1965, Big Ten Conference,Division I-A
Mississippi,1965, Southeastern Conference,Division I-A
Mississippi St.,1965, Southeastern Conference,Division I-A
Missouri,1965, Big Eight Conference,Division I-A
Navy (MD),1965, Independent,Division I-A
Nebraska,1965, Big Eight Conference,Division I-A
Nevada,1965, Northern California Athletic Conference,Division II
New Mexico,1965, Western Athletic Conference,Division I-A
New Mexico St.,1965, Independent,Division I-A
North Carolina,1965, Atlantic Coast Conference,Division I-A
North Carolina St.,1965, Atlantic Coast Conference,Division I-A
North Texas,1965, Missouri Valley Conference,Division I-A
Northern Illinois,1965, Interstate Intercollegiate Athletic Conference,Division II
Northwestern (IL),1965, Big Ten Conference,Division I-A
Notre Dame (IN),1965, Independent,Division I-A
Ohio,1965, Mid-American Conference,Division I-A
Ohio St.,1965, Big Ten Conference,Division I-A
Oklahoma,1965, Big Eight Conference,Division I-A
Oklahoma St.,1965, Big Eight Conference,Division I-A
Oregon,1965, Pacific-12 Conference,Division I-A
Oregon St.,1965, Pacific-12 Conference,Division I-A
Penn St.,1965, Independent,Division I-A
Pittsburgh (PA),1965, Independent,Division I-A
Purdue (IN),1965, Big Ten Conference,Division I-A
Rice (TX),1965, Southwest Conference,Division I-A
Rutgers (NJ),1965, Middle Three Conference,Division I-A
San Diego St. (CA),1965, California Collegiate Athletic Association,Division II
San Jose St. (CA),1965, Independent,Division I-A
South Carolina,1965, Atlantic Coast Conference,Division I-A
Southern California,1965, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1965, Southwest Conference,Division I-A
Southern Mississippi,1965, Independent,Division I-A
Stanford (CA),1965, Pacific-12 Conference,Division I-A
Syracuse (NY),1965, Independent,Division I-A
Temple (PA),1965, Middle Atlantic States Collegiate Athletic Corporation,Division II
Tennessee,1965, Southeastern Conference,Division I-A
Texas,1965, Southwest Conference,Division I-A
Texas A&M,1965, Southwest Conference,Division I-A
Texas Christian,1965, Southwest Conference,Division I-A
Texas St.,1965, Lone Star Conference,Division II
Texas Tech,1965, Southwest Conference,Division I-A
Texas-El Paso,1965, Independent,Division I-A
Toledo (OH),1965, Mid-American Conference,Division I-A
Troy (AL),1965, Alabama Collegiate Conference,NAIA
Tulane (LA),1965, Southeastern Conference,Division I-A
Tulsa (OK),1965, Missouri Valley Conference,Division I-A
UCLA,1965, Pacific-12 Conference,Division I-A
Utah,1965, Western Athletic Conference,Division I-A
Utah St.,1965, Independent,Division I-A
Vanderbilt (TN),1965, Southeastern Conference,Division I-A
Virginia,1965, Atlantic Coast Conference,Division I-A
Virginia Tech,1965, Independent,Division I-A
Wake Forest (NC),1965, Atlantic Coast Conference,Division I-A
Washington,1965, Pacific-12 Conference,Division I-A
Washington St.,1965, Pacific-12 Conference,Division I-A
West Virginia,1965, Southern Conference,Division I-A
Western Kentucky,1965, Ohio Valley Conference,Division II
Western Michigan,1965, Mid-American Conference,Division I-A
Wisconsin,1965, Big Ten Conference,Division I-A
Wyoming,1965, Western Athletic Conference,Division I-A
Air Force (CO),1966, Independent,Division I-A
Akron (OH),1966, Independent,Division II
Alabama,1966, Southeastern Conference,Division I-A
Appalachian St. (NC),1966, Carolinas Conference,NAIA
Arizona,1966, Western Athletic Conference,Division I-A
Arizona St.,1966, Western Athletic Conference,Division I-A
Arkansas,1966, Southwest Conference,Division I-A
Arkansas St.,1966, Southland Conference,Division II
Army (NY),1966, Independent,Division I-A
Auburn (AL),1966, Southeastern Conference,Division I-A
Ball St. (IN),1966, Heartland Collegiate Conference,Division II
Baylor (TX),1966, Southwest Conference,Division I-A
Boston College (MA),1966, Independent,Division I-A
Bowling Green (OH),1966, Mid-American Conference,Division I-A
Brigham Young (UT),1966, Western Athletic Conference,Division I-A
Buffalo (NY),1966, Independent,Division I-A
California,1966, Pacific-12 Conference,Division I-A
Central Michigan,1966, Interstate Intercollegiate Athletic Conference,Division II
Cincinnati (OH),1966, Missouri Valley Conference,Division I-A
Clemson (SC),1966, Atlantic Coast Conference,Division I-A
Colorado,1966, Big Eight Conference,Division I-A
Colorado St.,1966, Independent,Division I-A
Connecticut,1966, Yankee Conference,Division II
Duke (NC),1966, Atlantic Coast Conference,Division I-A
East Carolina (NC),1966, Southern Conference,Division I-A
Eastern Michigan,1966, Independent,Division II
Florida,1966, Southeastern Conference,Division I-A
Florida St.,1966, Independent,Division I-A
Fresno St. (CA),1966, California Collegiate Athletic Association,Division II
Georgia,1966, Southeastern Conference,Division I-A
Georgia Tech,1966, Independent,Division I-A
Hawaii,1966, Independent,Division II
Houston (TX),1966, Independent,Division I-A
Idaho,1966, Big Sky Conference,Division I-A
Illinois,1966, Big Ten Conference,Division I-A
Indiana,1966, Big Ten Conference,Division I-A
Iowa,1966, Big Ten Conference,Division I-A
Iowa St.,1966, Big Eight Conference,Division I-A
Kansas,1966, Big Eight Conference,Division I-A
Kansas St.,1966, Big Eight Conference,Division I-A
Kent St. (OH),1966, Mid-American Conference,Division I-A
Kentucky,1966, Southeastern Conference,Division I-A
Louisiana St.,1966, Southeastern Conference,Division I-A
Louisiana Tech,1966, Gulf States Conference,Division II
Louisiana-Lafayette,1966, Gulf States Conference,Division II
Louisiana-Monroe,1966, Gulf States Conference,Division II
Louisville (KY),1966, Missouri Valley Conference,Division I-A
Marshall (WV),1966, Mid-American Conference,Division I-A
Maryland,1966, Atlantic Coast Conference,Division I-A
Massachusetts,1966, Yankee Conference,Division II
Memphis (TN),1966, Independent,Division I-A
Miami (FL),1966, Independent,Division I-A
Miami (OH),1966, Mid-American Conference,Division I-A
Michigan,1966, Big Ten Conference,Division I-A
Michigan St.,1966, Big Ten Conference,Division I-A
Middle Tennessee St.,1966, Ohio Valley Conference,Division II
Minnesota,1966, Big Ten Conference,Division I-A
Mississippi,1966, Southeastern Conference,Division I-A
Mississippi St.,1966, Southeastern Conference,Division I-A
Missouri,1966, Big Eight Conference,Division I-A
Navy (MD),1966, Independent,Division I-A
Nebraska,1966, Big Eight Conference,Division I-A
Nevada,1966, Northern California Athletic Conference,Division II
New Mexico,1966, Western Athletic Conference,Division I-A
New Mexico St.,1966, Independent,Division I-A
North Carolina,1966, Atlantic Coast Conference,Division I-A
North Carolina St.,1966, Atlantic Coast Conference,Division I-A
North Texas,1966, Missouri Valley Conference,Division I-A
Northern Illinois,1966, Independent,Division II
Northwestern (IL),1966, Big Ten Conference,Division I-A
Notre Dame (IN),1966, Independent,Division I-A
Ohio,1966, Mid-American Conference,Division I-A
Ohio St.,1966, Big Ten Conference,Division I-A
Oklahoma,1966, Big Eight Conference,Division I-A
Oklahoma St.,1966, Big Eight Conference,Division I-A
Oregon,1966, Pacific-12 Conference,Division I-A
Oregon St.,1966, Pacific-12 Conference,Division I-A
Penn St.,1966, Independent,Division I-A
Pittsburgh (PA),1966, Independent,Division I-A
Purdue (IN),1966, Big Ten Conference,Division I-A
Rice (TX),1966, Southwest Conference,Division I-A
Rutgers (NJ),1966, Middle Three Conference,Division I-A
San Diego St. (CA),1966, California Collegiate Athletic Association,Division II
San Jose St. (CA),1966, Independent,Division I-A
South Carolina,1966, Atlantic Coast Conference,Division I-A
Southern California,1966, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1966, Southwest Conference,Division I-A
Southern Mississippi,1966, Independent,Division I-A
Stanford (CA),1966, Pacific-12 Conference,Division I-A
Syracuse (NY),1966, Independent,Division I-A
Temple (PA),1966, Middle Atlantic States Collegiate Athletic Corporation,Division II
Tennessee,1966, Southeastern Conference,Division I-A
Texas,1966, Southwest Conference,Division I-A
Texas A&M,1966, Southwest Conference,Division I-A
Texas Christian,1966, Southwest Conference,Division I-A
Texas St.,1966, Lone Star Conference,Division II
Texas Tech,1966, Southwest Conference,Division I-A
Texas-El Paso,1966, Independent,Division I-A
Toledo (OH),1966, Mid-American Conference,Division I-A
Troy (AL),1966, Alabama Collegiate Conference,NAIA
Tulane (LA),1966, Independent,Division I-A
Tulsa (OK),1966, Missouri Valley Conference,Division I-A
UCLA,1966, Pacific-12 Conference,Division I-A
Utah,1966, Western Athletic Conference,Division I-A
Utah St.,1966, Independent,Division I-A
Vanderbilt (TN),1966, Southeastern Conference,Division I-A
Virginia,1966, Atlantic Coast Conference,Division I-A
Virginia Tech,1966, Independent,Division I-A
Wake Forest (NC),1966, Atlantic Coast Conference,Division I-A
Washington,1966, Pacific-12 Conference,Division I-A
Washington St.,1966, Pacific-12 Conference,Division I-A
West Virginia,1966, Southern Conference,Division I-A
Western Kentucky,1966, Ohio Valley Conference,Division II
Western Michigan,1966, Mid-American Conference,Division I-A
Wisconsin,1966, Big Ten Conference,Division I-A
Wyoming,1966, Western Athletic Conference,Division I-A
Air Force (CO),1967, Independent,Division I-A
Akron (OH),1967, Independent,Division II
Alabama,1967, Southeastern Conference,Division I-A
Appalachian St. (NC),1967, Carolinas Conference,NAIA
Arizona,1967, Western Athletic Conference,Division I-A
Arizona St.,1967, Western Athletic Conference,Division I-A
Arkansas,1967, Southwest Conference,Division I-A
Arkansas St.,1967, Southland Conference,Division II
Army (NY),1967, Independent,Division I-A
Auburn (AL),1967, Southeastern Conference,Division I-A
Ball St. (IN),1967, Heartland Collegiate Conference,Division II
Baylor (TX),1967, Southwest Conference,Division I-A
Boston College (MA),1967, Independent,Division I-A
Bowling Green (OH),1967, Mid-American Conference,Division I-A
Brigham Young (UT),1967, Western Athletic Conference,Division I-A
Buffalo (NY),1967, Independent,Division I-A
California,1967, Pacific-12 Conference,Division I-A
Central Michigan,1967, Interstate Intercollegiate Athletic Conference,Division II
Cincinnati (OH),1967, Missouri Valley Conference,Division I-A
Clemson (SC),1967, Atlantic Coast Conference,Division I-A
Colorado,1967, Big Eight Conference,Division I-A
Colorado St.,1967, Independent,Division I-A
Connecticut,1967, Yankee Conference,Division II
Duke (NC),1967, Atlantic Coast Conference,Division I-A
East Carolina (NC),1967, Southern Conference,Division I-A
Eastern Michigan,1967, Independent,Division II
Florida,1967, Southeastern Conference,Division I-A
Florida St.,1967, Independent,Division I-A
Fresno St. (CA),1967, California Collegiate Athletic Association,Division II
Georgia,1967, Southeastern Conference,Division I-A
Georgia Tech,1967, Independent,Division I-A
Hawaii,1967, Independent,Division II
Houston (TX),1967, Independent,Division I-A
Idaho,1967, Big Sky Conference,Division I-A
Illinois,1967, Big Ten Conference,Division I-A
Indiana,1967, Big Ten Conference,Division I-A
Iowa,1967, Big Ten Conference,Division I-A
Iowa St.,1967, Big Eight Conference,Division I-A
Kansas,1967, Big Eight Conference,Division I-A
Kansas St.,1967, Big Eight Conference,Division I-A
Kent St. (OH),1967, Mid-American Conference,Division I-A
Kentucky,1967, Southeastern Conference,Division I-A
Louisiana St.,1967, Southeastern Conference,Division I-A
Louisiana Tech,1967, Gulf States Conference,Division II
Louisiana-Lafayette,1967, Gulf States Conference,Division II
Louisiana-Monroe,1967, Gulf States Conference,Division II
Louisville (KY),1967, Missouri Valley Conference,Division I-A
Marshall (WV),1967, Mid-American Conference,Division I-A
Maryland,1967, Atlantic Coast Conference,Division I-A
Massachusetts,1967, Yankee Conference,Division II
Memphis (TN),1967, Independent,Division I-A
Miami (FL),1967, Independent,Division I-A
Miami (OH),1967, Mid-American Conference,Division I-A
Michigan,1967, Big Ten Conference,Division I-A
Michigan St.,1967, Big Ten Conference,Division I-A
Middle Tennessee St.,1967, Ohio Valley Conference,Division II
Minnesota,1967, Big Ten Conference,Division I-A
Mississippi,1967, Southeastern Conference,Division I-A
Mississippi St.,1967, Southeastern Conference,Division I-A
Missouri,1967, Big Eight Conference,Division I-A
Navy (MD),1967, Independent,Division I-A
Nebraska,1967, Big Eight Conference,Division I-A
Nevada,1967, Northern California Athletic Conference,Division II
New Mexico,1967, Western Athletic Conference,Division I-A
New Mexico St.,1967, Independent,Division I-A
North Carolina,1967, Atlantic Coast Conference,Division I-A
North Carolina St.,1967, Atlantic Coast Conference,Division I-A
North Texas,1967, Missouri Valley Conference,Division I-A
Northern Illinois,1967, Independent,Division II
Northwestern (IL),1967, Big Ten Conference,Division I-A
Notre Dame (IN),1967, Independent,Division I-A
Ohio,1967, Mid-American Conference,Division I-A
Ohio St.,1967, Big Ten Conference,Division I-A
Oklahoma,1967, Big Eight Conference,Division I-A
Oklahoma St.,1967, Big Eight Conference,Division I-A
Oregon,1967, Pacific-12 Conference,Division I-A
Oregon St.,1967, Pacific-12 Conference,Division I-A
Penn St.,1967, Independent,Division I-A
Pittsburgh (PA),1967, Independent,Division I-A
Purdue (IN),1967, Big Ten Conference,Division I-A
Rice (TX),1967, Southwest Conference,Division I-A
Rutgers (NJ),1967, Middle Three Conference,Division I-A
San Diego St. (CA),1967, California Collegiate Athletic Association,Division II
San Jose St. (CA),1967, Independent,Division I-A
South Carolina,1967, Atlantic Coast Conference,Division I-A
Southern California,1967, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1967, Southwest Conference,Division I-A
Southern Mississippi,1967, Independent,Division I-A
Stanford (CA),1967, Pacific-12 Conference,Division I-A
Syracuse (NY),1967, Independent,Division I-A
Temple (PA),1967, Middle Atlantic States Collegiate Athletic Corporation,Division II
Tennessee,1967, Southeastern Conference,Division I-A
Texas,1967, Southwest Conference,Division I-A
Texas A&M,1967, Southwest Conference,Division I-A
Texas Christian,1967, Southwest Conference,Division I-A
Texas St.,1967, Lone Star Conference,Division II
Texas Tech,1967, Southwest Conference,Division I-A
Texas-El Paso,1967, Independent,Division I-A
Toledo (OH),1967, Mid-American Conference,Division I-A
Troy (AL),1967, Alabama Collegiate Conference,NAIA
Tulane (LA),1967, Independent,Division I-A
Tulsa (OK),1967, Missouri Valley Conference,Division I-A
UCLA,1967, Pacific-12 Conference,Division I-A
Utah,1967, Western Athletic Conference,Division I-A
Utah St.,1967, Independent,Division I-A
Vanderbilt (TN),1967, Southeastern Conference,Division I-A
Virginia,1967, Atlantic Coast Conference,Division I-A
Virginia Tech,1967, Independent,Division I-A
Wake Forest (NC),1967, Atlantic Coast Conference,Division I-A
Washington,1967, Pacific-12 Conference,Division I-A
Washington St.,1967, Pacific-12 Conference,Division I-A
West Virginia,1967, Southern Conference,Division I-A
Western Kentucky,1967, Ohio Valley Conference,Division II
Western Michigan,1967, Mid-American Conference,Division I-A
Wisconsin,1967, Big Ten Conference,Division I-A
Wyoming,1967, Western Athletic Conference,Division I-A
Air Force (CO),1968, Independent,Division I-A
Akron (OH),1968, Independent,Division II
Alabama,1968, Southeastern Conference,Division I-A
Appalachian St. (NC),1968, Carolinas Conference,NAIA
Arizona,1968, Western Athletic Conference,Division I-A
Arizona St.,1968, Western Athletic Conference,Division I-A
Arkansas,1968, Southwest Conference,Division I-A
Arkansas St.,1968, Southland Conference,Division II
Army (NY),1968, Independent,Division I-A
Auburn (AL),1968, Southeastern Conference,Division I-A
Ball St. (IN),1968, Independent,Division II
Baylor (TX),1968, Southwest Conference,Division I-A
Boise St. (ID),1968, Independent,Division II
Boston College (MA),1968, Independent,Division I-A
Bowling Green (OH),1968, Mid-American Conference,Division I-A
Brigham Young (UT),1968, Western Athletic Conference,Division I-A
Buffalo (NY),1968, Independent,Division I-A
California,1968, Pacific-12 Conference,Division I-A
Central Michigan,1968, Interstate Intercollegiate Athletic Conference,Division II
Cincinnati (OH),1968, Missouri Valley Conference,Division I-A
Clemson (SC),1968, Atlantic Coast Conference,Division I-A
Colorado,1968, Big Eight Conference,Division I-A
Colorado St.,1968, Western Athletic Conference,Division I-A
Connecticut,1968, Yankee Conference,Division II
Duke (NC),1968, Atlantic Coast Conference,Division I-A
East Carolina (NC),1968, Southern Conference,Division I-A
Eastern Michigan,1968, Independent,Division II
Florida,1968, Southeastern Conference,Division I-A
Florida St.,1968, Independent,Division I-A
Fresno St. (CA),1968, California Collegiate Athletic Association,Division II
Georgia,1968, Southeastern Conference,Division I-A
Georgia Tech,1968, Independent,Division I-A
Hawaii,1968, Independent,Division II
Houston (TX),1968, Independent,Division I-A
Idaho,1968, Big Sky Conference,Division I-A
Illinois,1968, Big Ten Conference,Division I-A
Indiana,1968, Big Ten Conference,Division I-A
Iowa,1968, Big Ten Conference,Division I-A
Iowa St.,1968, Big Eight Conference,Division I-A
Kansas,1968, Big Eight Conference,Division I-A
Kansas St.,1968, Big Eight Conference,Division I-A
Kent St. (OH),1968, Mid-American Conference,Division I-A
Kentucky,1968, Southeastern Conference,Division I-A
Louisiana St.,1968, Southeastern Conference,Division I-A
Louisiana Tech,1968, Gulf States Conference,Division II
Louisiana-Lafayette,1968, Gulf States Conference,Division II
Louisiana-Monroe,1968, Gulf States Conference,Division II
Louisville (KY),1968, Missouri Valley Conference,Division I-A
Marshall (WV),1968, Mid-American Conference,Division I-A
Maryland,1968, Atlantic Coast Conference,Division I-A
Massachusetts,1968, Yankee Conference,Division II
Memphis (TN),1968, Missouri Valley Conference,Division I-A
Miami (FL),1968, Independent,Division I-A
Miami (OH),1968, Mid-American Conference,Division I-A
Michigan,1968, Big Ten Conference,Division I-A
Michigan St.,1968, Big Ten Conference,Division I-A
Middle Tennessee St.,1968, Ohio Valley Conference,Division II
Minnesota,1968, Big Ten Conference,Division I-A
Mississippi,1968, Southeastern Conference,Division I-A
Mississippi St.,1968, Southeastern Conference,Division I-A
Missouri,1968, Big Eight Conference,Division I-A
Navy (MD),1968, Independent,Division I-A
Nebraska,1968, Big Eight Conference,Division I-A
Nevada,1968, Northern California Athletic Conference,Division II
Nevada-Las Vegas,1968, Independent,Division II
New Mexico,1968, Western Athletic Conference,Division I-A
New Mexico St.,1968, Independent,Division I-A
North Carolina,1968, Atlantic Coast Conference,Division I-A
North Carolina St.,1968, Atlantic Coast Conference,Division I-A
North Texas,1968, Missouri Valley Conference,Division I-A
Northern Illinois,1968, Independent,Division II
Northwestern (IL),1968, Big Ten Conference,Division I-A
Notre Dame (IN),1968, Independent,Division I-A
Ohio,1968, Mid-American Conference,Division I-A
Ohio St.,1968, Big Ten Conference,Division I-A
Oklahoma,1968, Big Eight Conference,Division I-A
Oklahoma St.,1968, Big Eight Conference,Division I-A
Oregon,1968, Pacific-12 Conference,Division I-A
Oregon St.,1968, Pacific-12 Conference,Division I-A
Penn St.,1968, Independent,Division I-A
Pittsburgh (PA),1968, Independent,Division I-A
Purdue (IN),1968, Big Ten Conference,Division I-A
Rice (TX),1968, Southwest Conference,Division I-A
Rutgers (NJ),1968, Middle Three Conference,Division I-A
San Diego St. (CA),1968, Independent,Division II
San Jose St. (CA),1968, Independent,Division I-A
South Carolina,1968, Atlantic Coast Conference,Division I-A
Southern California,1968, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1968, Southwest Conference,Division I-A
Southern Mississippi,1968, Independent,Division I-A
Stanford (CA),1968, Pacific-12 Conference,Division I-A
Syracuse (NY),1968, Independent,Division I-A
Temple (PA),1968, Middle Atlantic States Collegiate Athletic Corporation,Division II
Tennessee,1968, Southeastern Conference,Division I-A
